fare,age,family,survived
96.76,55.0,9.0,0
237.93,,,0
184.34,37.0,9.0,0
151.67,14.0,7.0,0
43.22,27.0,9.0,0
43.22,31.0,4.0,0
19.23,73.0,6.0,0
217.21,44.0,3.0,1
152.27,68.0,9.0,0
178.48,48.0,,1
10.04,57.0,9.0,0
242.63,75.0,3.0,1
208.95,22.0,5.0,0
57.02,4.0,0.0,0
49.55,72.0,5.0,0
49.93,46.0,5.0,0
79.54,59.0,1.0,0
133.57,34.0,9.0,1
110.83,11.0,9.0,0
76.35,31.0,8.0,0
154.9,11.0,5.0,1
39.18,56.0,6.0,0
76.58,38.0,1.0,0
94.76,21.0,1.0,0
116.74,10.0,1.0,0
197.37,26.0,9.0,0
53.92,8.0,8.0,0
130.99,8.0,2.0,0
150.14,60.0,3.0,0
16.38,72.0,0.0,0
153.85,34.0,0.0,1
46.78,16.0,3.0,1
20.94,13.0,1.0,0
237.48,76.0,,0
241.58,22.0,3.0,0
203.06,27.0,2.0,0
79.63,64.0,,0
28.93,2.0,5.0,0
172.64,26.0,,0
112.84,69.0,5.0,1
34.9,,5.0,1
126.32,8.0,7.0,1
13.43,38.0,7.0,0
227.78,61.0,,1
68.4,65.0,0.0,0
167.32,67.0,9.0,0
81.37,46.0,7.0,1
132.42,72.0,4.0,1
138.94,43.0,2.0,1
50.29,59.0,,0
242.55,46.0,2.0,0
194.91,72.0,5.0,0
235.18,35.0,,1
224.23,39.0,9.0,1
151.49,51.0,1.0,0
230.86,4.0,8.0,0
26.68,,4.0,0
53.02,51.0,4.0,1
16.08,5.0,0.0,0
84.71,55.0,,0
100.23,20.0,4.0,1
71.48,24.0,6.0,0
208.04,36.0,6.0,1
92.4,34.0,3.0,1
73.83,,,0
137.96,34.0,,0
39.53,17.0,7.0,1
201.54,5.0,,0
23.26,18.0,0.0,0
246.79,55.0,5.0,0
194.2,53.0,3.0,0
53.69,50.0,9.0,0
6.35,72.0,2.0,0
204.79,79.0,6.0,0
178.18,45.0,7.0,0
183.61,13.0,3.0,0
193.96,16.0,9.0,0
23.14,13.0,5.0,1
92.82,20.0,1.0,0
33.39,66.0,7.0,1
216.46,47.0,5.0,0
157.71,19.0,,0
86.07,45.0,5.0,1
20.57,37.0,5.0,0
81.19,54.0,1.0,0
84.67,6.0,4.0,0
183.75,14.0,8.0,0
161.2,4.0,0.0,0
222.37,55.0,,0
120.69,34.0,,0
34.3,27.0,9.0,1
179.74,7.0,2.0,1
191.39,3.0,0.0,0
142.51,47.0,0.0,1
193.89,2.0,0.0,0
125.98,25.0,0.0,0
133.07,60.0,1.0,1
109.75,79.0,4.0,0
11.23,24.0,1.0,0
31.43,15.0,3.0,0
12.7,14.0,8.0,0
160.92,54.0,2.0,0
82.02,78.0,1.0,1
129.6,6.0,3.0,0
227.35,78.0,8.0,0
66.08,18.0,3.0,0
105.54,20.0,,1
190.11,62.0,3.0,0
61.06,40.0,7.0,0
23.86,39.0,3.0,1
75.99,52.0,,0
44.5,32.0,3.0,0
232.78,73.0,1.0,0
202.99,27.0,8.0,0
160.18,52.0,7.0,0
218.51,,8.0,0
201.9,74.0,3.0,0
50.71,63.0,0.0,1
223.68,17.0,2.0,0
137.14,49.0,6.0,0
202.82,23.0,0.0,1
224.54,72.0,7.0,0
82.91,13.0,8.0,0
31.96,23.0,7.0,0
60.84,57.0,,0
109.64,62.0,,0
205.41,54.0,3.0,0
215.88,20.0,8.0,1
6.7,52.0,0.0,0
130.13,23.0,2.0,0
107.27,35.0,,0
59.42,67.0,9.0,1
34.37,34.0,0.0,0
87.72,33.0,5.0,1
