Age,Salary,Purchased
56,69164,Yes
46,41126,Yes
32,58206,Yes
60,46967,Yes
25,46734,No
38,66481,Yes
56,62381,Yes
36,62202,Yes
40,69582,Yes
28,50315,No
28,60229,No
41,45345,Yes
53,54862,Yes
57,48047,Yes
41,51454,Yes
20,58927,No
39,37726,No
19,81385,Yes
41,34909,No
47,31787,No
55,67371,Yes
19,61874,No
38,59361,Yes
50,59425,Yes
29,49816,No
39,36541,No
42,51137,Yes
44,39842,No
59,64626,Yes
45,47794,Yes
33,37617,No
32,45179,Yes
20,56193,No
54,41544,Yes
24,37666,No
38,53655,Yes
26,53674,No
56,42395,Yes
35,42934,Yes
21,53480,No
42,28278,No
31,28888,No
26,39223,No
43,46798,Yes
19,54663,No
37,72130,Yes
45,62864,Yes
24,47600,No
25,49714,No
52,34962,No
31,49722,Yes
34,45670,Yes
53,54840,Yes
57,37591,No
21,57790,No
19,72991,Yes
23,48368,No
59,56025,Yes
21,60352,No
46,43981,Yes
35,53361,Yes
43,50188,Yes
51,51465,Yes
27,38404,No
53,50367,Yes
31,57469,Yes
48,71767,Yes
32,64389,Yes
25,82297,Yes
31,38489,No
40,63084,Yes
57,52750,Yes
38,82847,Yes
33,37875,No
35,37404,No
41,41009,Yes
43,20000,No
42,42113,Yes
58,38613,No
46,52255,Yes
32,55126,Yes
18,78142,Yes
42,64256,Yes
24,41346,No
26,36523,No
41,57378,Yes
18,30196,No
25,77471,Yes
41,67691,Yes
28,42962,No
34,24302,No
25,70308,Yes
52,48281,Yes
52,68567,Yes
50,26083,No
22,41009,No
59,50078,Yes
56,50704,Yes
58,43249,Yes
45,59342,Yes
24,33985,No
26,47864,No
25,51804,No
29,57716,No
51,60674,Yes
50,33130,No
40,26988,No
41,69165,Yes
54,54984,Yes
52,38772,No
57,73267,Yes
39,51735,Yes
44,67689,Yes
52,51012,Yes
18,80911,Yes
52,76330,Yes
54,46265,Yes
31,64573,Yes
20,59680,No
18,70529,Yes
22,35526,No
43,60290,Yes
31,65876,Yes
56,23618,No
44,32251,No
26,20000,No
32,45958,Yes
32,60763,Yes
43,72535,Yes
59,51111,Yes
30,74429,Yes
49,29298,No
56,24449,No
49,49166,Yes
21,55760,No
47,49509,Yes
54,20000,No
40,48663,Yes
56,30432,No
32,60045,Yes
60,55498,Yes
46,35901,No
53,42291,Yes
30,34111,No
49,49059,Yes
24,64327,No
39,35214,No
45,57560,Yes
19,42046,No
59,38106,No
23,48394,No
45,34471,No
45,41695,Yes
37,32031,No
47,79470,Yes
